X	Y	Z	Vx	Vy	Vz
4.4444E-01	8.0808E-02	0.0000E+00	-4.8805E-13	-6.7879E-13	0.0000E+00
4.6465E-01	8.0808E-02	0.0000E+00	-4.0605E-13	-6.7841E-13	0.0000E+00
4.8485E-01	8.0808E-02	0.0000E+00	-3.3049E-13	-6.7798E-13	0.0000E+00
5.0505E-01	8.0808E-02	0.0000E+00	-2.6217E-13	-6.7754E-13	0.0000E+00
5.2525E-01	8.0808E-02	0.0000E+00	-2.0089E-13	-6.7713E-13	0.0000E+00
5.4545E-01	8.0808E-02	0.0000E+00	-1.4553E-13	-6.7679E-13	0.0000E+00
5.6566E-01	8.0808E-02	0.0000E+00	-9.4514E-14	-6.7654E-13	0.0000E+00
5.8586E-01	8.0808E-02	0.0000E+00	-4.6501E-14	-6.7638E-13	0.0000E+00
6.0606E-01	8.0808E-02	0.0000E+00	0.0000E+00	-6.7633E-13	0.0000E+00
0.0000E+00	1.0101E-01	0.0000E+00	0.0000E+00	-8.0426E-13	0.0000E+00
4.0404E-02	1.0101E-01	0.0000E+00	-3.4948E-13	-8.0474E-13	0.0000E+00
8.0808E-02	1.0101E-01	0.0000E+00	-6.6841E-13	-8.0614E-13	0.0000E+00
1.2121E-01	1.0101E-01	0.0000E+00	-9.2767E-13	-8.0833E-13	0.0000E+00
1.6162E-01	1.0101E-01	0.0000E+00	-1.1050E-12	-8.1092E-13	0.0000E+00
2.0202E-01	1.0101E-01	0.0000E+00	-1.1963E-12	-8.1357E-13	0.0000E+00
2.4242E-01	1.0101E-01	0.0000E+00	-1.2035E-12	-8.1607E-13	0.0000E+00
2.8283E-01	1.0101E-01	0.0000E+00	-1.1340E-12	-8.1812E-13	0.0000E+00
3.2323E-01	1.0101E-01	0.0000E+00	-1.0064E-12	-8.1949E-13	0.0000E+00
3.6364E-01	1.0101E-01	0.0000E+00	-8.4283E-13	-8.2014E-13	0.0000E+00
4.0404E-01	1.0101E-01	0.0000E+00	-6.6391E-13	-8.2013E-13	0.0000E+00
4.4444E-01	1.0101E-01	0.0000E+00	-4.8757E-13	-8.1955E-13	0.0000E+00
4.8485E-01	1.0101E-01	0.0000E+00	-3.2992E-13	-8.1856E-13	0.0000E+00
5.2525E-01	1.0101E-01	0.0000E+00	-2.0043E-13	-8.1752E-13	0.0000E+00
5.6566E-01	1.0101E-01	0.0000E+00	-9.4264E-14	-8.1682E-13	0.0000E+00
6.0606E-01	1.0101E-01	0.0000E+00	0.0000E+00	-8.1657E-13	0.0000E+00
0.0000E+00	1.2121E-01	0.0000E+00	0.0000E+00	-9.2444E-13	0.0000E+00
2.0202E-02	1.2121E-01	0.0000E+00	-1.7691E-13	-9.2457E-13	0.0000E+00
4.0404E-02	1.2121E-01	0.0000E+00	-3.4998E-13	-9.2497E-13	0.0000E+00
6.0606E-02	1.2121E-01	0.0000E+00	-5.1536E-13	-9.2562E-13	0.0000E+00
8.0808E-02	1.2121E-01	0.0000E+00	-6.6938E-13	-9.2653E-13	0.0000E+00
1.0101E-01	1.2121E-01	0.0000E+00	-8.0833E-13	-9.2767E-13	0.0000E+00
1.2121E-01	1.2121E-01	0.0000E+00	-9.2897E-13	-9.2897E-13	0.0000E+00
1.4141E-01	1.2121E-01	0.0000E+00	-1.0285E-12	-9.3038E-13	0.0000E+00
1.6162E-01	1.2121E-01	0.0000E+00	-1.1064E-12	-9.3186E-13	0.0000E+00
1.8182E-01	1.2121E-01	0.0000E+00	-1.1627E-12	-9.3334E-13	0.0000E+00
2.0202E-01	1.2121E-01	0.0000E+00	-1.1976E-12	-9.3480E-13	0.0000E+00
2.2222E-01	1.2121E-01	0.0000E+00	-1.2114E-12	-9.3624E-13	0.0000E+00
2.4242E-01	1.2121E-01	0.0000E+00	-1.2046E-12	-9.3759E-13	0.0000E+00
